Character,UnicodeHex,UnicodeInt,UnicodeName,CleanedChar,CleanedCharHex,CleanedCharInt,CleanedCharName
–,0X2013,8211,EN DASH,,,,
—,0X2014,8212,EM DASH,,,,
‘,0X2018,8216,LEFT SINGLE QUOTATION MARK,,,,
’,0X2019,8217,RIGHT SINGLE QUOTATION MARK,',0X0027,39.0,APOSTROPHE
“,0X201C,8220,LEFT DOUBLE QUOTATION MARK,"""",0X0022,34.0,QUOTATION MARK
”,0X201D,8221,RIGHT DOUBLE QUOTATION MARK,"""",0X0022,34.0,QUOTATION MARK
․,0X2024,8228,ONE DOT LEADER,,,,
…,0X2026,8230,HORIZONTAL ELLIPSIS,,,,
※,0X203B,8251,REFERENCE MARK,,,,
₁,0X2081,8321,SUBSCRIPT ONE,,,,
₂,0X2082,8322,SUBSCRIPT TWO,,,,
₃,0X2083,8323,SUBSCRIPT THREE,,,,
℃,0X2103,8451,DEGREE CELSIUS,,,,
ℓ,0X2113,8467,SCRIPT SMALL L,,,,
Ⅰ,0X2160,8544,ROMAN NUMERAL ONE,,,,
Ⅱ,0X2161,8545,ROMAN NUMERAL TWO,,,,
Ⅲ,0X2162,8546,ROMAN NUMERAL THREE,3,0X0033,51.0,DIGIT THREE
Ⅳ,0X2163,8547,ROMAN NUMERAL FOUR,,,,
Ⅴ,0X2164,8548,ROMAN NUMERAL FIVE,,,,
Ⅵ,0X2165,8549,ROMAN NUMERAL SIX,,,,
Ⅶ,0X2166,8550,ROMAN NUMERAL SEVEN,,,,
Ⅷ,0X2167,8551,ROMAN NUMERAL EIGHT,,,,
↔,0X2194,8596,LEFT RIGHT ARROW,,,,
∙,0X2219,8729,BULLET OPERATOR,,,,
∥,0X2225,8741,PARALLEL TO,,,,
∼,0X223C,8764,TILDE OPERATOR,~,0X007E,126.0,TILDE
≤,0X2264,8804,LESS-THAN OR EQUAL TO,,,,
①,0X2460,9312,CIRCLED DIGIT ONE,,,,
Ⓡ,0X24C7,9415,CIRCLED LATIN CAPITAL LETTER R,,,,
ⓚ,0X24DA,9434,CIRCLED LATIN SMALL LETTER K,,,,
─,0X2500,9472,BOX DRAWINGS LIGHT HORIZONTAL,,,,
│,0X2502,9474,BOX DRAWINGS LIGHT VERTICAL,,,,
┌,0X250C,9484,BOX DRAWINGS LIGHT DOWN AND RIGHT,,,,
┐,0X2510,9488,BOX DRAWINGS LIGHT DOWN AND LEFT,,,,
└,0X2514,9492,BOX DRAWINGS LIGHT UP AND RIGHT,,,,
┘,0X2518,9496,BOX DRAWINGS LIGHT UP AND LEFT,,,,
├,0X251C,9500,BOX DRAWINGS LIGHT VERTICAL AND RIGHT,,,,
┤,0X2524,9508,BOX DRAWINGS LIGHT VERTICAL AND LEFT,,,,
┬,0X252C,9516,BOX DRAWINGS LIGHT DOWN AND HORIZONTAL,,,,
┴,0X2534,9524,BOX DRAWINGS LIGHT UP AND HORIZONTAL,,,,
┼,0X253C,9532,BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL,,,,
■,0X25A0,9632,BLACK SQUARE,,,,
○,0X25CB,9675,WHITE CIRCLE,,,,
●,0X25CF,9679,BLACK CIRCLE,,,,
♥,0X2665,9829,BLACK HEART SUIT,,,,
「,0X300C,12300,LEFT CORNER BRACKET,,,,
」,0X300D,12301,RIGHT CORNER BRACKET,,,,
ち,0X3061,12385,HIRAGANA LETTER TI,,,,
ば,0X3070,12400,HIRAGANA LETTER BA,,,,
ア,0X30A2,12450,KATAKANA LETTER A,,,,
ィ,0X30A3,12451,KATAKANA LETTER SMALL I,,,,
ウ,0X30A6,12454,KATAKANA LETTER U,,,,
エ,0X30A8,12456,KATAKANA LETTER E,,,,
キ,0X30AD,12461,KATAKANA LETTER KI,,,,
グ,0X30B0,12464,KATAKANA LETTER GU,,,,
コ,0X30B3,12467,KATAKANA LETTER KO,,,,
シ,0X30B7,12471,KATAKANA LETTER SI,,,,
ジ,0X30B8,12472,KATAKANA LETTER ZI,,,,
ス,0X30B9,12473,KATAKANA LETTER SU,,,,
セ,0X30BB,12475,KATAKANA LETTER SE,,,,
タ,0X30BF,12479,KATAKANA LETTER TA,,,,
ッ,0X30C3,12483,KATAKANA LETTER SMALL TU,,,,
ツ,0X30C4,12484,KATAKANA LETTER TU,,,,
テ,0X30C6,12486,KATAKANA LETTER TE,,,,
デ,0X30C7,12487,KATAKANA LETTER DE,,,,
ト,0X30C8,12488,KATAKANA LETTER TO,,,,
ナ,0X30CA,12490,KATAKANA LETTER NA,,,,
ニ,0X30CB,12491,KATAKANA LETTER NI,,,,
ハ,0X30CF,12495,KATAKANA LETTER HA,,,,
バ,0X30D0,12496,KATAKANA LETTER BA,,,,
ビ,0X30D3,12499,KATAKANA LETTER BI,,,,
ピ,0X30D4,12500,KATAKANA LETTER PI,,,,
ホ,0X30DB,12507,KATAKANA LETTER HO,,,,
ポ,0X30DD,12509,KATAKANA LETTER PO,,,,
ミ,0X30DF,12511,KATAKANA LETTER MI,,,,
ム,0X30E0,12512,KATAKANA LETTER MU,,,,
ャ,0X30E3,12515,KATAKANA LETTER SMALL YA,,,,
ュ,0X30E5,12517,KATAKANA LETTER SMALL YU,,,,
ラ,0X30E9,12521,KATAKANA LETTER RA,,,,
リ,0X30EA,12522,KATAKANA LETTER RI,,,,
ル,0X30EB,12523,KATAKANA LETTER RU,,,,
ン,0X30F3,12531,KATAKANA LETTER N,,,,
ー,0X30FC,12540,KATAKANA-HIRAGANA PROLONGED SOUND MARK,,,,
ㄱ,0X3131,12593,HANGUL LETTER KIYEOK,,,,
ㄲ,0X3132,12594,HANGUL LETTER SSANGKIYEOK,,,,
ㄴ,0X3134,12596,HANGUL LETTER NIEUN,,,,
ㄷ,0X3137,12599,HANGUL LETTER TIKEUT,,,,
ㄹ,0X3139,12601,HANGUL LETTER RIEUL,,,,
ㅁ,0X3141,12609,HANGUL LETTER MIEUM,,,,
ㅂ,0X3142,12610,HANGUL LETTER PIEUP,,,,
ㅅ,0X3145,12613,HANGUL LETTER SIOS,,,,
ㅇ,0X3147,12615,HANGUL LETTER IEUNG,,,,
ㅈ,0X3148,12616,HANGUL LETTER CIEUC,,,,
ㅋ,0X314B,12619,HANGUL LETTER KHIEUKH,,,,
ㅍ,0X314D,12621,HANGUL LETTER PHIEUPH,,,,
