FilePath,FileName,ColumnName,DetailDataType,MasterType,FormatCnt,UniqueCnt,FormatTop10,FormatTopRate,Format,FormatMin,FormatMax,FormatMedian,FormatValue,Format(%),MatchNo
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ADDR,ADDRESS,Master,700.0,3491.0,"[""KKKKK KKK KKK"", ""KKK KKK KKK KKK"", ""KKKK KKK KKK KKK"", ""KKKKK KK KKK"", ""KKK KKK KKK"", ""KKKK KKK KKK KKK nnn"", ""KK KK KK"", ""KKK KKK KKK KKKK nnn"", ""KKK KKK KKK KKK nnn"", ""KKKKK KKK KKKK nnn""]","[8.2, 3.63, 3.35, 3.09, 2.93, 2.38, 1.76, 1.73, 1.66, 1.62]",KKKKK KKK KKK,광주광역시 광산구 서봉동,인천광역시 연수구 청학동,서울특별시 금천구 가산동,355.0,8.2,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ADDR,ADDRESS,Master,700.0,3491.0,"[""KKKKK KKK KKK"", ""KKK KKK KKK KKK"", ""KKKK KKK KKK KKK"", ""KKKKK KK KKK"", ""KKK KKK KKK"", ""KKKK KKK KKK KKK nnn"", ""KK KK KK"", ""KKK KKK KKK KKKK nnn"", ""KKK KKK KKK KKK nnn"", ""KKKKK KKK KKKK nnn""]","[8.2, 3.63, 3.35, 3.09, 2.93, 2.38, 1.76, 1.73, 1.66, 1.62]",KKK KKK KKK KKK,강원도 원주시 신림면 신림리,경기도 화성시 향남읍 행정리,경기도 안산시 단원구 원곡동,157.0,3.63,2
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ADDR,ADDRESS,Master,700.0,3491.0,"[""KKKKK KKK KKK"", ""KKK KKK KKK KKK"", ""KKKK KKK KKK KKK"", ""KKKKK KK KKK"", ""KKK KKK KKK"", ""KKKK KKK KKK KKK nnn"", ""KK KK KK"", ""KKK KKK KKK KKKK nnn"", ""KKK KKK KKK KKK nnn"", ""KKKKK KKK KKKK nnn""]","[8.2, 3.63, 3.35, 3.09, 2.93, 2.38, 1.76, 1.73, 1.66, 1.62]",KKKK KKK KKK KKK,경상남도 거제시 남부면 다대리,충청북도 충주시 동량면 조동리,전라남도 신안군 압해읍 복룡리,145.0,3.35,3
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COMMISION,,Master,3.0,4.0,"[""n"", ""nnn"", ""nnnn""]","[99.95, 0.03, 0.03]",n,0,0,0,7391.0,99.95,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COMMISION,,Master,3.0,4.0,"[""n"", ""nnn"", ""nnnn""]","[99.95, 0.03, 0.03]",nnn,500,500,500,2.0,0.03,2
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COMMISION,,Master,3.0,4.0,"[""n"", ""nnn"", ""nnnn""]","[99.95, 0.03, 0.03]",nnnn,1000,1500,1500,2.0,0.03,3
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,YYYYMMDD,Master,1.0,3827.0,"[""nnnnnnnn""]",[100.0],nnnnnnnn,19990101,20240101,20140203,7670.0,100.0,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,UNIQUE,Master,7.0,7683.0,"[""nnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn"", ""nnn"", ""Annnnnn"", ""sK""]","[72.25, 26.12, 1.38, 0.21, 0.01, 0.01, 0.01]",nnnnnnn,1000006,9127849,6000451,5551.0,72.25,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,UNIQUE,Master,7.0,7683.0,"[""nnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn"", ""nnn"", ""Annnnnn"", ""sK""]","[72.25, 26.12, 1.38, 0.21, 0.01, 0.01, 0.01]",nnnnnn,101363,146665,124141,2007.0,26.12,2
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,UNIQUE,Master,7.0,7683.0,"[""nnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn"", ""nnn"", ""Annnnnn"", ""sK""]","[72.25, 26.12, 1.38, 0.21, 0.01, 0.01, 0.01]",nnnnn,10326,97209,45769,106.0,1.38,3
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,,Master,4.0,89.0,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",AAAAAAA,ANDOCHT,YONOCHT,KANOCHT,4615.0,66.44,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,,Master,4.0,89.0,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",AAAAA,BKKBR,ULSBR,KWJBR,2162.0,31.13,2
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,,Master,4.0,89.0,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",AAAAAA,HQREPT,SUWCHT,SUWCHT,168.0,2.42,3
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,,Master,3.0,110.0,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]",AAAAA,ADGDD,YSNKE,PDGBR,7428.0,97.72,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,,Master,3.0,110.0,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]",AAAAn,CJUB1,TAEB1,SEEB1,161.0,2.12,2
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,,Master,3.0,110.0,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]",AAAnn,SEK13,TAE89,TAE89,12.0,0.16,3
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,,Master,1.0,96.0,"[""nnnn""]",[100.0],nnnn,1111,1613,1178,7600.0,100.0,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUSTOMER,Text,Master,705.0,7016.0,"[""KKKK"", ""KKKKK"", ""KKK"", ""KKKKKK"", ""(K)KKKK"", ""(K)KKKKK"", ""KK"", ""KKKKKKK"", ""(K)KKKKKK"", ""(K)KKK""]","[15.61, 10.21, 7.35, 5.91, 4.59, 3.74, 3.18, 3.14, 2.63, 2.16]",KKKK,가구마트,후곡농원,씨오푸드,1197.0,15.61,1
