FilePath,FileName,ColumnName,DetailDataType,MasterType,FormatCnt,UniqueCnt,FormatTop10,FormatTopRate,Format,FormatMin,FormatMax,FormatMedian,FormatValue,Format(%),MatchNo,MasterFilePath,MasterFile,ReferenceMasterType,MasterColumn,MasterFormatCnt,MasterMin,MasterMax,MasterMedian,MasterValue,Master(%),MasterUniqueCnt,MasterFormatTop10,MasterFormatTopRate,MasterCompareLength,Match_Flag,Match_Flag1,Match_Flag2,Match_Flag3,Match_Flag4,Match_Flag5,Match_Flag6,Match_Flag7,Match_Flag8,Final_Flag
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,YYYYMMDD,Master,1.0,3827.0,"[""nnnnnnnn""]",[100.0],nnnnnnnn,19990101,20240101,20140203,7670.0,100.0,1,C:/projects/myproject/QDQM/DS_Input/Reference/연월일.csv,연월일.csv,Reference,연월일,1.0,19000205,20991230,19990209,10000.0,100.0,10000.0,"[""nnnnnnnn""]",[100.0],0,1,1,1,1,1,1,1,1,1,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,UNIQUE,Master,7.0,7683.0,"[""nnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn"", ""nnn"", ""Annnnnn"", ""sK""]","[72.25, 26.12, 1.38, 0.21, 0.01, 0.01, 0.01]",nnnnnn,101363,146665,124141,2007.0,26.12,2,C:/projects/myproject/QDQM/DS_Input/Reference/우편번호구3.csv,우편번호구3.csv,Reference,우편번호구3,2.0,100000,799000,477000,258.0,50.0,516.0,"[""nnnnnn"", ""nnn-nnn""]","[50.0, 50.0]",3,1,1,1,1,1,1,1,1,1,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,UNIQUE,Master,7.0,7683.0,"[""nnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn"", ""nnn"", ""Annnnnn"", ""sK""]","[72.25, 26.12, 1.38, 0.21, 0.01, 0.01, 0.01]",nnnnnn,101363,146665,124141,2007.0,26.12,2,C:/projects/myproject/QDQM/DS_Input/Reference/증권종목코드.csv,증권종목코드.csv,Reference,증권종목코드,1.0,000020,950220,090080,2668.0,100.0,2668.0,"[""nnnnnn""]",[100.0],0,1,1,1,0,1,1,1,1,1,0
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,,Master,4.0,89.0,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",AAAAAAA,ANDOCHT,YONOCHT,KANOCHT,4615.0,66.44,1,C:/projects/myproject/QDQM/DS_Input/Reference/Aircraft_Manufacturer.csv,Aircraft_Manufacturer.csv,Reference,Aircraft_Manufacturer,293.0,AEROCAD,ZIPLINE,LAMBACH,305.0,12.35,2039.0,"[""AAAAAAA"", ""AAAAAA"", ""AAAAA"", ""AAAAAAAA"", ""AAAA"", ""AAA"", ""AAAAAAAAA"", ""AAAAAAAAAA"", ""AAAAAAAAAAA"", ""AAAAA AAAAAAAA""]","[12.35, 12.31, 9.84, 8.67, 8.34, 5.22, 4.74, 3.6, 1.22, 1.01]",0,1,1,1,1,1,1,1,1,1,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,,Master,4.0,89.0,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",AAAAAAA,ANDOCHT,YONOCHT,KANOCHT,4615.0,66.44,1,C:/projects/myproject/QDQM/DS_Input/Reference/City_Eng.csv,City_Eng.csv,Reference,City_Eng,179.0,AALBORG,ZOERSEL,LARNACA,1161.0,17.52,6626.0,"[""AAAAAA"", ""AAAAAAA"", ""AAAAAAAA"", ""AAAAA"", ""AAAAAAAAA"", ""AAAA"", ""AAAAAAAAAA"", ""AAAAAAAAAAA"", ""AAA"", ""AAAAAAAAAAAA""]","[18.46, 17.52, 14.35, 13.9, 9.48, 7.65, 5.8, 3.23, 1.95, 1.48]",0,1,1,1,1,1,1,1,1,1,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,,Master,4.0,89.0,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",AAAAAAA,ANDOCHT,YONOCHT,KANOCHT,4615.0,66.44,1,C:/projects/myproject/QDQM/DS_Input/Reference/Seaport_Name9.csv,Seaport_Name9.csv,Reference,Seaport_Name9,912.0,AARSELE,ZUTPHEN,LOMBARD,1204.0,12.04,10000.0,"[""AAAAAAA"", ""AAAAAAAA"", ""AAAAAA"", ""AAAAAAAAA"", ""AAAAA"", ""AAAAAAAAAA"", ""AAAAAAAAAAA"", ""AAAA"", ""AAAAAAAAAAAA"", ""AAAAAAAs AA""]","[12.04, 10.9, 10.36, 9.05, 6.8, 6.36, 4.13, 2.89, 2.32, 1.29]",9,1,1,1,1,1,1,1,1,1,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,,Master,4.0,89.0,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",AAAAA,BKKBR,ULSBR,KWJBR,2162.0,31.13,2,C:/projects/myproject/QDQM/DS_Input/Reference/Seaport_Code.csv,Seaport_Code.csv,Reference,Seaport_Code,7.0,AEAJM,ZWVFA,JPAGJ,9742.0,97.42,10000.0,"[""AAAAA"", ""AAAAn"", ""AAAnA"", ""AAnAA"", ""AAAnn"", ""AAnnA"", ""AAAAs""]","[97.42, 1.64, 0.43, 0.25, 0.19, 0.06, 0.01]",0,1,1,1,1,1,1,1,1,1,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,,Master,3.0,110.0,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]",AAAAA,ADGDD,YSNKE,PDGBR,7428.0,97.72,1,C:/projects/myproject/QDQM/DS_Input/Reference/Seaport_Code.csv,Seaport_Code.csv,Reference,Seaport_Code,7.0,AEAJM,ZWVFA,JPAGJ,9742.0,97.42,10000.0,"[""AAAAA"", ""AAAAn"", ""AAAnA"", ""AAnAA"", ""AAAnn"", ""AAnnA"", ""AAAAs""]","[97.42, 1.64, 0.43, 0.25, 0.19, 0.06, 0.01]",0,1,1,1,1,1,1,1,1,1,1
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUSTOMER,Text,Master,705.0,7016.0,"[""KKKK"", ""KKKKK"", ""KKK"", ""KKKKKK"", ""(K)KKKK"", ""(K)KKKKK"", ""KK"", ""KKKKKKK"", ""(K)KKKKKK"", ""(K)KKK""]","[15.61, 10.21, 7.35, 5.91, 4.59, 3.74, 3.18, 3.14, 2.63, 2.16]",KKKK,가구마트,후곡농원,씨오푸드,1197.0,15.61,1,C:/projects/myproject/QDQM/DS_Input/Reference/Country.csv,Country.csv,Reference,Country,29.0,가이아나,포르투갈,브루나이,54.0,22.22,243.0,"[""KKK"", ""KKKK"", ""KKKKK"", ""KK"", ""KKKKKK"", ""KKKKKKK"", ""KKKKKKKK"", ""KKKKKKKKK"", ""KKKKKKKKKK"", ""KKK KK KK""]","[28.4, 22.22, 14.81, 13.58, 7.0, 2.88, 1.23, 0.82, 0.82, 0.41]",0,1,1,0,0,1,1,1,1,1,0
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUSTOMER,Text,Master,705.0,7016.0,"[""KKKK"", ""KKKKK"", ""KKK"", ""KKKKKK"", ""(K)KKKK"", ""(K)KKKKK"", ""KK"", ""KKKKKKK"", ""(K)KKKKKK"", ""(K)KKK""]","[15.61, 10.21, 7.35, 5.91, 4.59, 3.74, 3.18, 3.14, 2.63, 2.16]",KKKK,가구마트,후곡농원,씨오푸드,1197.0,15.61,1,C:/projects/myproject/QDQM/DS_Input/Reference/건물용도.csv,건물용도.csv,Reference,건물용도,12.0,광산주택,체육시설,운수시설,14.0,36.84,38.0,"[""KKKK"", ""KKKKKK"", ""KKKKK"", ""KKK"", ""KK"", ""KKKK(KKKKKK)"", ""KKKKK(KKKKKK)"", ""KKKKKK(KK)"", ""KKK KKKK"", ""KKKKKKK""]","[36.84, 15.79, 13.16, 7.89, 7.89, 2.63, 2.63, 2.63, 2.63, 2.63]",0,1,1,0,0,1,1,1,1,1,0
