FilePath,FileName,ColumnName,MasterType,CodeFilePath,CodeFile,CodeType,CodeColumn,FormatTop10,FormatTopRate,MasterFormatTop10,MasterFormatTopRate,CompareLength,Matched,Matched(%)
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ADDR,Master,Rule,Rule,Rule,ADDRESS,,0,,0,,4330,100.0
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,Master,Rule,Rule,Rule,DATECHAR,,0,,0,,7670,100.0
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,Master,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,CUSTOMER.csv,Master,판매일,"[""nnnnnnnn""]",[100.0],"[""nnnnnnnn""]",[100.0],0,2528,66.06
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,Master,C:/projects/myproject/QDQM/DS_Input/Internal/사원마스터.csv,사원마스터.csv,Master,근무시작일자,"[""nnnnnnnn""]",[100.0],"[""nnnnnnnn"", ""nnnnnn"", ""nnnn""]","[99.93, 0.04, 0.03]",0,2458,64.23
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,Master,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,판매일,"[""nnnnnnnn""]",[100.0],"[""nnnnnnnn""]",[100.0],0,2438,63.71
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,Master,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,CUSTOMER.csv,Master,판매점소,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]","[""AAAAA"", ""AAAAAAA"", ""AAAAAA"", ""AA""]","[78.07, 18.56, 3.32, 0.05]",0,82,92.13
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,Master,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,판매점소,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]","[""AAAAA"", ""AAAAAAA"", ""AAAAAA"", ""AA""]","[81.38, 15.27, 3.3, 0.05]",0,80,89.89
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,Master,C:/projects/myproject/QDQM/DS_Input/Internal/택배_고객.csv,택배_고객.csv,Master,판매점소,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]","[""AAAAA"", ""AAAAAAA"", ""AAAAAA"", ""AA""]","[97.44, 2.26, 0.26, 0.04]",0,76,85.39
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,Master,C:/projects/myproject/QDQM/DS_Input/Test/Z검증용데이터.csv,Z검증용데이터.csv,Test,판매점소,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]","[""AAAAA"", ""AAAAAAA"", ""AAAAAA"", ""AA""]","[58.86, 37.29, 3.8, 0.05]",0,73,82.02
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,Master,REQUEST_ORG,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA"", ""AAAAn"", ""AAAnn"", ""A/A""]","[98.79, 1.04, 0.16, 0.01]",0,105,95.45
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,CUSTOMER.csv,Master,수금점소,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.82, 1.98, 0.2]",0,101,91.82
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,수금점소,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.73, 2.07, 0.2]",0,101,91.82
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/조직_수입관리.csv,조직_수입관리.csv,Master,OIO_ORG_COD,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA"", ""AAAAn"", ""AAAA"", ""A/A"", ""AAAnn""]","[95.92, 2.55, 0.51, 0.51, 0.51]",0,101,91.82
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/지점코드.csv,지점코드.csv,Master,OIO_ORG_COD,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA"", ""AAAAn"", ""AAAA"", ""A/A"", ""AAAnn""]","[95.92, 2.55, 0.51, 0.51, 0.51]",0,101,91.82
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,CUSTOMER.csv,Master,청구점소,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA"", ""AAAAn"", ""AAAnn""]","[98.9, 0.93, 0.17]",0,100,90.91
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,청구점소,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA"", ""AAAAn"", ""AAAnn""]","[98.86, 0.97, 0.18]",0,100,90.91
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/ORGNIZATION.csv,ORGNIZATION.csv,Master,수입조직코드,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA""]",[100.0],0,70,63.64
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CORRECT_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/택배_조직도.csv,택배_조직도.csv,Master,수입조직코드,"[""AAAAA"", ""AAAAn"", ""AAAnn""]","[97.72, 2.12, 0.16]","[""AAAAA""]",[100.0],0,70,63.64
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/사용자.csv,사용자.csv,Master,점소코드,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,94,97.92
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,CUSTOMER.csv,Master,수입조직,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,90,93.75
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Test/Z사용자.csv,Z사용자.csv,Test,점소코드,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,90,93.75
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,수입조직,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,89,92.71
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/조직_수입관리.csv,조직_수입관리.csv,Master,OIO_ORG_NCD,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,89,92.71
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/지점코드.csv,지점코드.csv,Master,OIO_ORG_NCD,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,89,92.71
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/택배_고객.csv,택배_고객.csv,Master,수입조직,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,85,88.54
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/ORGNIZATION.csv,ORGNIZATION.csv,Master,수입신규조직코드,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,70,72.92
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,COST_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/택배_조직도.csv,택배_조직도.csv,Master,수입신규조직코드,"[""nnnn""]",[100.0],"[""nnnn""]",[100.0],0,70,72.92
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUST_NO,Master,C:/projects/myproject/QDQM/DS_Input/Reference/사업자등록번호3.csv,사업자등록번호3.csv,Reference,유효사업자번호3,"[""nnnnnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn""]","[99.78, 0.14, 0.07, 0.01]","[""nnnnnnnnnn""]",[100.0],3,16,88.89
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,DEVELOP_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,Master,ORG_CODE,"[""nnnn"", ""nnn"", ""AAn"", ""n""]","[97.58, 1.78, 0.36, 0.29]","[""nnnn"", ""nnn"", ""n"", ""nn"", ""AAn""]","[97.26, 2.13, 0.4, 0.16, 0.05]",0,431,99.54
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,DEVELOP_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/ORGNIZATION.csv,ORGNIZATION.csv,Master,조직코드,"[""nnnn"", ""nnn"", ""AAn"", ""n""]","[97.58, 1.78, 0.36, 0.29]","[""nnnn"", ""nnn"", ""AAAAA"", ""AAAAAAA"", ""nnnnnn"", ""AAAA"", ""AA"", ""nnnnnnn"", ""nnnnn"", ""AAA""]","[78.96, 14.52, 2.4, 2.4, 1.02, 0.42, 0.13, 0.05, 0.05, 0.03]",0,424,97.92
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,DEVELOP_ORG,Master,C:/projects/myproject/QDQM/DS_Input/Internal/택배_조직도.csv,택배_조직도.csv,Master,조직코드,"[""nnnn"", ""nnn"", ""AAn"", ""n""]","[97.58, 1.78, 0.36, 0.29]","[""nnnn"", ""nnn"", ""AAAAA"", ""AAAAAAA"", ""nnnnnn"", ""AAAA"", ""AA"", ""nnnnnnn"", ""nnnnn"", ""AAA""]","[78.96, 14.52, 2.4, 2.4, 1.02, 0.42, 0.13, 0.05, 0.05, 0.03]",0,424,97.92
