FilePath,FileName,ColumnName,MasterType,PK,DataType,OracleType,DetailDataType,LenCnt,LenMin,LenMax,LenAvg,LenMode,RecordCnt,SampleRows,ValueCnt,NullCnt,Null(%),UniqueCnt,Unique(%),FormatCnt,Format,FormatValue,Format(%),Format2nd,Format2ndValue,Format2nd(%),Format3rd,Format3rdValue,Format3rd(%),FormatTop10,FormatTopRate,MinString,MaxString,ModeString,MedianString,ModeCnt,FormatMin,FormatMax,FormatMode,FormatMedian,Format2ndMin,Format2ndMax,Format2ndMode,Format2ndMedian,Format3rdMin,Format3rdMax,Format3rdMode,Format3rdMedian,Top10,Top10(%),HasBlank,HasDash,HasDot,HasAt,HasAlpha,HasKor,HasNum,HasBracket,HasMinus,HasOnlyAlpha,HasOnlyNum,HasOnlyKor,HasOnlyAlphanum,HasBrokenKor,HasSpecial,HasUnicode,HasUnicode2,HasChinese,HasJapanese,HasTab,HasCr,HasLf,FirstChrKor,FirstChrNum,FirstChrAlpha,FirstChrSpecial,First1Top10,Last1Top10,First2Top10,Last2Top10,First3Top10,Last3Top10,First1M1,First1Cnt1,First1M2,First1Cnt2,First1M3,First1Cnt3,Last1M1,Last1Cnt1,Last1M2,Last1Cnt2,Last1M3,Last1Cnt3,First2M1,First2Cnt1,First2M2,First2Cnt2,First2M3,First2Cnt3,Last2M1,Last2Cnt1,Last2M2,Last2Cnt2,Last2M3,Last2Cnt3,First3M1,First3Cnt1,First3M2,First3Cnt2,First3M3,First3Cnt3,Last3M1,Last3Cnt1,Last3M2,Last3Cnt2,Last3M3,Last3Cnt3,Null_pct,TypeMixed_pct,LengthVol_pct,Duplicate_pct,RuleFail_pct,DQ_Score,DQ_Issues,Issue_Count,Rule,MatchedScoreList,CodeFilePath_1,CodeFile_1,CodeType_1,CodeColumn_1,Matched_1,Matched(%)_1,CodeFilePath_2,CodeFile_2,CodeType_2,CodeColumn_2,Matched_2,Matched(%)_2,CodeFilePath_3,CodeFile_3,CodeType_3,CodeColumn_3,Matched_3,Matched(%)_3,CodeFilePath_4,CodeFile_4,CodeType_4,CodeColumn_4,CompareLength,Matched_4,SourceCount,Matched(%)_4,Attribute,FK
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,Master,1,object,"NUMBER(8,1)",UNIQUE,6.0,2.0,7.0,6.7,7.0,7683,7683,7683,0,0.0,7683.0,100.0,7.0,nnnnnnn,5551.0,72.25,nnnnnn,2007.0,26.12,nnnnn,106.0,1.38,"[""nnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn"", ""nnn"", ""Annnnnn"", ""sK""]","[72.25, 26.12, 1.38, 0.21, 0.01, 0.01, 0.01]",1000006,ㄱ헌,1000006,3009489,1.0,1000006,9127849,1000006,6000451,101363,146665,101363,124141,10326,97209,10326,45769,"[""6008970"", ""8012611"", ""4446777"", ""9117756"", ""140509"", ""8009345"", ""112394"", ""133188"", ""6003115"", ""123167""]","[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7681.0,1.0,1.0,"[""1"", ""9"", ""8"", ""2"", ""3"", ""7"", ""6"", ""4"", ""5"", ""J""]","[""4"", ""5"", ""8"", ""1"", ""7"", ""9"", ""6"", ""0"", ""3"", ""2""]","[""12"", ""80"", ""20"", ""10"", ""70"", ""60"", ""13"", ""11"", ""91"", ""30""]","[""15"", ""09"", ""95"", ""91"", ""86"", ""08"", ""48"", ""87"", ""28"", ""97""]","[""700"", ""600"", ""200"", ""300"", ""800"", ""900"", ""801"", ""500"", ""100"", ""123""]","[""109"", ""657"", ""091"", ""186"", ""308"", ""715"", ""387"", ""646"", ""814"", ""528""]",1,2729.0,9,818.0,8,781.0,4,798.0,5,784.0,8,782.0,12,862.0,80,770.0,20,713.0,15,98.0,09,96.0,95,95.0,700,463.0,600,452.0,200,433.0,109,19.0,657,15.0,091,15.0,0.0,27.75,71.42857142857143,0.0,0.0,82.35,Length volatility,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUSTOMER,Master,0,object,VARCHAR2(41),Text,28.0,1.0,41.0,7.1,4.0,7683,7683,7670,13,0.17,7016.0,91.47,705.0,KKKK,1197.0,15.61,KKKKK,783.0,10.21,KKK,564.0,7.35,"[""KKKK"", ""KKKKK"", ""KKK"", ""KKKKKK"", ""(K)KKKK"", ""(K)KKKKK"", ""KK"", ""KKKKKKK"", ""(K)KKKKKK"", ""(K)KKK""]","[15.61, 10.21, 7.35, 5.91, 4.59, 3.74, 3.18, 3.14, 2.63, 2.16]",(WN)지에이플러스,힙합,(주)농협물류,삼성전자판매 주식회사,54.0,가구마트,후곡농원,두산백과,씨오푸드,가나다식품,힙스앤립스,고신대학교,아비시니아,가온몰,희망몰,굿데이,야시시,"[""(주)농협물류"", ""주식회사 LF"", ""(주)하이프라자"", ""삼성전자판매 주식회사"", ""롯데쇼핑(주)롯데슈퍼사업본부"", ""(주)에이비씨마트코리아"", ""롯데쇼핑(주)롯데마트사업본부"", ""(주)지에스리테일"", ""롯데하이마트(주)"", ""한솔로지스틱스주식회사""]","[0.7, 0.61, 0.48, 0.33, 0.29, 0.29, 0.26, 0.25, 0.25, 0.23]",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5856.0,18.0,241.0,1555.0,"[""("", ""주"", ""한"", ""아"", ""에"", ""대"", ""제"", ""삼"", ""이"", ""롯""]","["")"", ""사"", ""스"", ""점"", ""아"", ""원"", ""이"", ""드"", ""트"", ""통""]","[""(주"", ""주식"", ""롯데"", ""한국"", ""제이"", ""삼성"", ""케이"", ""농업"", ""에스"", ""아이""]","[""주)"", ""회사"", ""리아"", ""유통"", ""물류"", ""상사"", ""식품"", ""퍼니"", ""본부"", ""푸드""]","[""(주)"", ""주식회"", ""롯데쇼"", ""농업회"", ""삼성전"", ""SK네"", ""롯데하"", ""한솔로"", ""케이티"", ""엘지전""]","[""(주)"", ""식회사"", ""코리아"", ""컴퍼니"", ""협물류"", ""업본부"", ""내셔널"", "" LF"", ""합법인"", ""프라자""]",(,1545.0,주,617.0,한,205.0,),592.0,사,421.0,스,402.0,(주,1522.0,주식,587.0,롯데,77.0,주),388.0,회사,201.0,리아,178.0,(주),1521.0,주식회,586.0,롯데쇼,50.0,(주),388.0,식회사,192.0,코리아,175.0,0.17,84.39,97.5609756097561,8.530000000000001,0.0,63.35,"Mixed formats, Length volatility",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUST_NO,Master,0,float64,NUMBER(10),,4.0,4.0,10.0,10.0,10.0,7683,7683,7621,62,0.81,6916.0,90.75,4.0,nnnnnnnnnn,7604.0,99.78,nnnnnn,11.0,0.14,nnnnn,5.0,0.07,"[""nnnnnnnnnn"", ""nnnnnn"", ""nnnnn"", ""nnnn""]","[99.78, 0.14, 0.07, 0.01]",1000000025,94429,1000045549,1000496082,88.0,1000000025,2001378148,1000045549,1000495903,101098,639815,101098,447011,22193,94429,22193,42501,"[""1000045549"", ""1000056556"", ""1000037425"", ""1000086587"", ""1000095585"", ""1000048902"", ""1000060786"", ""1000022237"", ""1000010170"", ""1000009480""]","[1.15, 0.62, 0.49, 0.33, 0.29, 0.29, 0.26, 0.25, 0.25, 0.24]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7621.0,0.0,0.0,"[""1"", ""2"", ""4"", ""5"", ""9"", ""6"", ""3""]","[""9"", ""7"", ""6"", ""8"", ""5"", ""0"", ""1"", ""2"", ""4"", ""3""]","[""10"", ""20"", ""11"", ""56"", ""90"", ""49"", ""32"", ""48"", ""94"", ""62""]","[""49"", ""56"", ""25"", ""87"", ""85"", ""97"", ""52"", ""10"", ""37"", ""86""]","[""100"", ""200"", ""116"", ""639"", ""447"", ""221"", ""425"", ""521"", ""104"", ""629""]","[""549"", ""556"", ""425"", ""587"", ""237"", ""786"", ""902"", ""585"", ""338"", ""926""]",1,7429.0,2,181.0,4,4.0,9,833.0,7,827.0,6,801.0,10,7427.0,20,179.0,11,2.0,49,164.0,56,110.0,25,105.0,100,7425.0,200,179.0,116,2.0,549,94.0,556,51.0,425,41.0,0.81,0.21999999999999886,60.0,9.25,0.0,89.7,Length volatility,1,,,,,,,,,,,,,,,,,,,,,C:/projects/myproject/QDQM/DS_Input/Reference/사업자등록번호3.csv,사업자등록번호3.csv,Reference,유효사업자번호3,3.0,16.0,18.0,88.89,유효사업자번호3,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,Master,0,float64,DATE,YYYYMMDD,1.0,8.0,8.0,8.0,8.0,7683,7683,7670,13,0.17,3827.0,49.9,1.0,nnnnnnnn,7670.0,100.0,,,,,,,"[""nnnnnnnn""]",[100.0],19990101,20240101,19990101,20140203,107.0,19990101,20240101,19990101,20140203,,,,,,,,,"[""19990101"", ""20200826"", ""20081201"", ""20220301"", ""20080501"", ""20230901"", ""20130401"", ""19990501"", ""20130826"", ""20050901""]","[1.4, 0.61, 0.38, 0.38, 0.34, 0.26, 0.25, 0.23, 0.21, 0.18]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7670.0,0.0,0.0,"[""2"", ""1""]","[""1"", ""0"", ""8"", ""2"", ""6"", ""7"", ""5"", ""9"", ""3"", ""4""]","[""20"", ""19""]","[""01"", ""26"", ""15"", ""20"", ""10"", ""08"", ""22"", ""16"", ""14"", ""07""]","[""201"", ""200"", ""202"", ""199""]","[""101"", ""201"", ""501"", ""401"", ""901"", ""801"", ""601"", ""701"", ""301"", ""826""]",2,7533.0,1,137.0,,0.0,1,1835.0,0,714.0,8,670.0,20,7533.0,19,137.0,,0.0,01,1264.0,26,270.0,15,268.0,201,3429.0,200,2417.0,202,1687.0,101,275.0,201,163.0,501,136.0,0.17,0.0,0.0,50.1,0.0,94.92,,0,,,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,CUSTOMER.csv,Master,판매일,2528.0,66.06,C:/projects/myproject/QDQM/DS_Input/Internal/사원마스터.csv,사원마스터.csv,Master,근무시작일자,2458.0,64.23,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,판매일,2438.0,63.71,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,Master,0,object,VARCHAR2(7),,4.0,2.0,7.0,6.4,7.0,7683,7683,6946,737,9.59,89.0,1.28,4.0,AAAAAAA,4615.0,66.44,AAAAA,2162.0,31.13,AAAAAA,168.0,2.42,"[""AAAAAAA"", ""AAAAA"", ""AAAAAA"", ""AA""]","[66.44, 31.13, 2.42, 0.01]",ANDOCHT,YONOCHT,HJTOCHT,KPOHQ,399.0,ANDOCHT,YONOCHT,HJTOCHT,KANOCHT,BKKBR,ULSBR,BUEBR,KWJBR,HQREPT,SUWCHT,SUWCHT,SUWCHT,"[""HJTOCHT"", ""BUEBR"", ""KSOOCHT"", ""BUGOCHT"", ""KUROCHT"", ""TAEOCHT"", ""GIEBR"", ""SEEBR"", ""PUNOCHT"", ""TJNOCHT""]","[5.74, 4.69, 4.35, 3.93, 3.8, 3.63, 3.4, 3.17, 2.95, 2.81]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6946.0,0.0,"[""K"", ""S"", ""B"", ""T"", ""H"", ""C"", ""I"", ""P"", ""G"", ""J""]","[""T"", ""R"", ""A"", ""M"", ""G"", ""Q"", ""C"", ""S"", ""E"", ""B""]","[""BU"", ""SE"", ""CH"", ""TA"", ""HJ"", ""KU"", ""KS"", ""TJ"", ""KW"", ""GI""]","[""HT"", ""BR"", ""RA"", ""CA"", ""LM"", ""RG"", ""HQ"", ""OC"", ""KE"", ""PT""]","[""TAE"", ""HJT"", ""BUE"", ""KSO"", ""TJN"", ""BUG"", ""KUR"", ""GIE"", ""SEE"", ""PUN""]","[""CHT"", ""EBR"", ""OBR"", ""SBR"", ""BRA"", ""PBR"", ""NBR"", ""ABR"", ""JBR"", ""LCA""]",K,1160.0,S,989.0,B,904.0,T,4758.0,R,1890.0,A,217.0,BU,897.0,SE,455.0,CH,446.0,HT,4757.0,BR,1890.0,RA,177.0,TAE,401.0,HJT,399.0,BUE,378.0,CHT,4753.0,EBR,931.0,OBR,260.0,9.59,33.56,71.42857142857143,98.72,0.0,67.19,"Mixed formats, Length volatility, Very low uniqueness",3,,,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,CUSTOMER.csv,Master,판매점소,82.0,92.13,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,판매점소,80.0,89.89,C:/projects/myproject/QDQM/DS_Input/Internal/택배_고객.csv,택배_고객.csv,Master,판매점소,76.0,85.39,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,SALES_EMP,Master,0,object,"NUMBER(8,1)",,3.0,5.0,7.0,6.5,7.0,7683,7683,7587,96,1.25,994.0,13.1,4.0,nnnnnnn,4702.0,61.97,nnnnnn,2037.0,26.85,nnnnn,845.0,11.14,"[""nnnnnnn"", ""nnnnnn"", ""nnnnn"", ""AAAnnnn""]","[61.97, 26.85, 11.14, 0.04]",10010,HJT0103,9999999,53071,417.0,1010542,9999999,9999999,9305332,152806,980103,310741,511910,10010,71374,12891,11594,"[""9999999"", ""9703945"", ""12891"", ""310741"", ""610234"", ""210836"", ""1910344"", ""9501903"", ""1111493"", ""811145""]","[5.5, 1.46, 1.46, 1.44, 0.99, 0.94, 0.92, 0.91, 0.84, 0.84]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7584.0,3.0,0.0,"[""9"", ""1"", ""2"", ""8"", ""3"", ""6"", ""7"", ""5"", ""4"", ""H""]","[""5"", ""4"", ""0"", ""3"", ""1"", ""6"", ""2"", ""9""]","[""95"", ""11"", ""99"", ""21"", ""97"", ""94"", ""12"", ""61"", ""31"", ""96""]","[""99"", ""45"", ""50"", ""41"", ""23"", ""91"", ""36"", ""03"", ""93"", ""02""]","[""950"", ""999"", ""970"", ""210"", ""610"", ""710"", ""960"", ""111"", ""115"", ""310""]","[""999"", ""891"", ""945"", ""741"", ""344"", ""145"", ""952"", ""610"", ""234"", ""155""]",9,2625.0,1,2188.0,2,835.0,5,1232.0,4,1146.0,0,1015.0,95,671.0,11,604.0,99,439.0,99,417.0,45,310.0,50,207.0,950,491.0,999,417.0,970,385.0,999,417.0,891,139.0,945,123.0,1.25,38.03,28.57142857142857,86.9,0.0,77.02,Mixed formats,1,,,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,기업고객.csv,Master,판매원사번,748.0,75.25,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ZIP,Master,0,float64,VARCHAR2(6),,3.0,4.0,6.0,5.8,6.0,7683,7683,7544,139,1.81,4491.0,59.53,3.0,nnnnnn,6149.0,81.51,nnnnn,1131.0,14.99,nnnn,264.0,3.5,"[""nnnnnn"", ""nnnnn"", ""nnnn""]","[81.51, 14.99, 3.5]",10001,8858,135080,411370,47.0,100011,799821,135080,413832,10001,63641,17180,26356,1317,8858,8588,6043,"[""135080"", ""137070"", ""153023"", ""400103"", ""133120"", ""150010"", ""137130"", ""135010"", ""140012"", ""100450""]","[0.62, 0.57, 0.54, 0.48, 0.41, 0.37, 0.37, 0.36, 0.34, 0.33]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7544.0,0.0,0.0,"[""1"", ""4"", ""6"", ""3"", ""7"", ""5"", ""2"", ""8""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""8"", ""7"", ""9""]","[""13"", ""15"", ""42"", ""40"", ""46"", ""41"", ""70"", ""44"", ""10"", ""14""]","[""10"", ""20"", ""30"", ""00"", ""70"", ""40"", ""50"", ""60"", ""80"", ""90""]","[""100"", ""135"", ""137"", ""140"", ""157"", ""153"", ""121"", ""130"", ""110"", ""150""]","[""010"", ""050"", ""030"", ""070"", ""020"", ""060"", ""080"", ""120"", ""090"", ""040""]",1,2354.0,4,2141.0,6,850.0,0,3408.0,1,694.0,2,661.0,13,816.0,15,536.0,42,381.0,10,498.0,20,436.0,30,368.0,100,220.0,135,213.0,137,136.0,010,239.0,050,157.0,030,153.0,1.81,18.489999999999995,33.33333333333333,40.47,0.0,85.61,Length volatility,1,,,,,,,,,,,,,,,,,,,,,C:/projects/myproject/QDQM/DS_Input/Reference/우편번호3.csv,우편번호3.csv,Reference,우편번호3,3.0,332.0,509.0,65.23,우편번호3,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ADDR,Master,0,object,VARCHAR2(48),ADDRESS,39.0,5.0,48.0,17.4,16.0,7683,7683,4330,3353,43.64,3491.0,80.62,700.0,KKKKK KKK KKK,355.0,8.2,KKK KKK KKK KKK,157.0,3.63,KKKK KKK KKK KKK,145.0,3.35,"[""KKKKK KKK KKK"", ""KKK KKK KKK KKK"", ""KKKK KKK KKK KKK"", ""KKKKK KK KKK"", ""KKK KKK KKK"", ""KKKK KKK KKK KKK nnn"", ""KK KK KK"", ""KKK KKK KKK KKKK nnn"", ""KKK KKK KKK KKK nnn"", ""KKKKK KKK KKKK nnn""]","[8.2, 3.63, 3.35, 3.09, 2.93, 2.38, 1.76, 1.73, 1.66, 1.62]",강릉  노암,화성  반송,경기도 성남시 분당구 황새울로 340,대전광역시 서구 둔산중로 1(탄방동),20.0,광주광역시 광산구 서봉동,인천광역시 연수구 청학동,서울특별시 금천구 가산동,서울특별시 금천구 가산동,강원도 원주시 신림면 신림리,경기도 화성시 향남읍 행정리,경기도 용인시 기흥구 고매동,경기도 안산시 단원구 원곡동,경상남도 거제시 남부면 다대리,충청북도 충주시 동량면 조동리,경상남도 양산시 물금읍 범어리,전라남도 신안군 압해읍 복룡리,"[""경기도 성남시 분당구 황새울로 340"", ""서울시 강남구 논현로 508(역삼동, GS타워)"", ""서울특별시 금천구 가산동"", ""인천광역시 계양구 마장로512번길 7 (효성동)"", ""인천광역시 부평구 부평북로 295"", ""서울특별시 금천구 가산디지털2로 83"", ""경기도 용인시 기흥구 고매동"", ""서울특별시 구로구 구로동"", ""인천광역시 중구 인항로 39"", ""인천광역시 중구 신흥동3가""]","[0.46, 0.44, 0.42, 0.37, 0.28, 0.28, 0.28, 0.28, 0.25, 0.25]",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4330.0,0.0,0.0,0.0,"[""경"", ""서"", ""대"", ""부"", ""충"", ""인"", ""전"", ""강"", ""광"", ""제""]","[""동"", ""0"", ""1"", ""2"", ""5"", ""3"", ""7"", ""리"", ""9"", ""6""]","[""경기"", ""서울"", ""경상"", ""부산"", ""대구"", ""인천"", ""충청"", ""전라"", ""강원"", ""대전""]","[""-1"", ""동)"", ""산동"", ""10"", ""11"", ""20"", ""40"", ""번길"", ""12"", ""27""]","[""경기도"", ""서울특"", ""부산광"", ""인천광"", ""대구광"", ""경상북"", ""경상남"", ""강원도"", ""충청남"", ""전라남""]","["" 20"", "" 11"", "" 10"", "" 21"", ""-10"", "" 27"", "" 12"", "" 39"", "" 13"", ""타워)""]",경,1595.0,서,961.0,대,359.0,동,886.0,0,331.0,1,331.0,경기,1191.0,서울,959.0,경상,386.0,-1,80.0,동),74.0,산동,72.0,경기도,1186.0,서울특,819.0,부산광,239.0,20,38.0,11,30.0,10,28.0,43.64,91.8,89.58333333333334,19.379999999999995,0.0,44.22,"High NULLs, Mixed formats, Length volatility",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,RETURN_ZIP,Master,0,object,VARCHAR2(7),,3.0,4.0,7.0,6.6,7.0,7683,7683,7530,153,1.99,4489.0,59.61,3.0,nnn-nnn,6151.0,81.69,nnnnn,1116.0,14.82,nnnn,263.0,3.49,"[""nnn-nnn"", ""nnnnn"", ""nnnn""]","[81.69, 14.82, 3.49]",100-011,8858,135-080,411-380,47.0,100-011,799-821,135-080,413-840,10001,63641,50414,26401,1317,8858,8588,6013,"[""135-080"", ""137-070"", ""153-023"", ""400-103"", ""133-120"", ""137-130"", ""150-010"", ""135-010"", ""140-012"", ""130-100""]","[0.62, 0.57, 0.53, 0.48, 0.41, 0.37, 0.37, 0.36, 0.35, 0.33]",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7530.0,0.0,0.0,"[""1"", ""4"", ""6"", ""3"", ""7"", ""5"", ""2"", ""8""]","[""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""8"", ""7"", ""9""]","[""13"", ""15"", ""42"", ""40"", ""46"", ""41"", ""70"", ""44"", ""10"", ""14""]","[""10"", ""20"", ""30"", ""00"", ""70"", ""40"", ""50"", ""60"", ""80"", ""90""]","[""100"", ""135"", ""137"", ""140"", ""157"", ""153"", ""121"", ""130"", ""110"", ""150""]","[""010"", ""050"", ""030"", ""070"", ""020"", ""060"", ""080"", ""120"", ""090"", ""040""]",1,2339.0,4,2143.0,6,849.0,0,3401.0,1,695.0,2,657.0,13,812.0,15,534.0,42,382.0,10,498.0,20,433.0,30,367.0,100,221.0,135,212.0,137,137.0,010,240.0,050,157.0,030,153.0,1.99,18.310000000000002,42.857142857142854,40.39,0.0,84.16,Length volatility,1,,,,,,,,,,,,,,,,,,,,,C:/projects/myproject/QDQM/DS_Input/Reference/우편번호3.csv,우편번호3.csv,Reference,우편번호3,3.0,334.0,512.0,65.23,우편번호3,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,RETURN_ADDR,Master,0,object,VARCHAR2(48),ADDRESS,34.0,5.0,48.0,17.1,16.0,7683,7683,4136,3547,46.17,3376.0,81.62,636.0,KKKKK KKK KKK,359.0,8.68,KKK KKK KKK KKK,161.0,3.89,KKKK KKK KKK KKK,146.0,3.53,"[""KKKKK KKK KKK"", ""KKK KKK KKK KKK"", ""KKKK KKK KKK KKK"", ""KKKKK KK KKK"", ""KKK KKK KKK"", ""KKKK KKK KKK KKK nnn"", ""KK KK KK"", ""KKK KKK KKK KKK nnn"", ""KKKKK KKK KKKK nnn"", ""KKK KKK KKK KKKnnnKK""]","[8.68, 3.89, 3.53, 3.26, 3.09, 2.47, 1.81, 1.72, 1.62, 1.52]",강릉  노암,화성  반송,서울특별시 금천구 가산동,대전광역시 대덕구 오정로110번길 36,18.0,광주광역시 광산구 서봉동,인천광역시 연수구 청학동,서울특별시 금천구 가산동,서울특별시 금천구 가산동,강원도 원주시 신림면 신림리,경기도 화성시 향남읍 행정리,경기도 용인시 기흥구 고매동,경기도 안산시 단원구 신길동,경상남도 거제시 남부면 다대리,충청북도 충주시 동량면 조동리,경상남도 양산시 물금읍 범어리,전라남도 여수시 돌산읍 율림리,"[""서울특별시 금천구 가산동"", ""경기도 용인시 기흥구 고매동"", ""서울특별시 구로구 구로동"", ""서울특별시 금천구 가산디지털2로 83"", ""인천광역시 부평구 부평북로 295"", ""인천광역시 중구 신흥동3가"", ""인천광역시 중구 인항로 39"", ""서울특별시 도봉구 창동"", ""서울특별시 관악구 신림동"", ""경기도 시흥시 정왕동""]","[0.44, 0.29, 0.29, 0.29, 0.27, 0.27, 0.27, 0.24, 0.24, 0.24]",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4136.0,0.0,0.0,0.0,"[""경"", ""서"", ""대"", ""부"", ""충"", ""전"", ""인"", ""강"", ""광"", ""제""]","[""동"", ""1"", ""0"", ""2"", ""5"", ""3"", ""7"", ""리"", ""9"", ""6""]","[""경기"", ""서울"", ""경상"", ""부산"", ""대구"", ""충청"", ""인천"", ""전라"", ""강원"", ""대전""]","[""-1"", ""산동"", ""10"", ""11"", ""20"", ""번길"", ""12"", ""정동"", ""23"", ""15""]","[""경기도"", ""서울특"", ""부산광"", ""대구광"", ""인천광"", ""경상북"", ""경상남"", ""강원도"", ""충청남"", ""전라남""]","["" 20"", "" 11"", "" 10"", "" 12"", "" 21"", ""-10"", "" 13"", "" 39"", "" 14"", "" 27""]",경,1547.0,서,855.0,대,352.0,동,897.0,1,319.0,0,295.0,경기,1151.0,서울,853.0,경상,384.0,-1,76.0,산동,72.0,10,64.0,경기도,1147.0,서울특,772.0,부산광,237.0,20,37.0,11,29.0,10,26.0,46.17,91.32,89.58333333333334,18.379999999999995,0.0,43.43,"High NULLs, Mixed formats, Length volatility",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
