FilePath,FileName,ColumnName,MasterType,PK,FK,Attribute,Level_Depth,Level_Depth_Internal,Level_Relationship,Level_Relationship_Internal,Level0_Matched(%),Level1_Column,Level1_File,Level1_MasterType,Level1_Matched(%),Level2_Column,Level2_File,Level2_MasterType,Level2_Matched(%),Level3_Column,Level3_File,Level3_MasterType,Level3_Matched(%),Level4_Column,Level4_File,Level4_MasterType,Level4_Matched(%),CodeColumn_1,CodeFile_1,CodeFilePath_1,CodeType_1,Matched_1,Matched(%)_1,CodeColumn_2,CodeFile_2,CodeFilePath_2,CodeType_2,Matched_2,Matched(%)_2,CodeColumn_3,CodeFile_3,CodeFilePath_3,CodeType_3,Matched_3,Matched(%)_3,CodeColumn_4,CodeFile_4,CodeFilePath_4,CodeType_4,Matched_4,Matched(%)_4
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_NO,Master,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUSTOMER,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CUST_NO,Master,0,,유효사업자번호3,1,0,사업자등록번호3.csv.유효사업자번호3,,,유효사업자번호3,사업자등록번호3.csv,Reference,88.89,,,,,,,,,,,,,유효사업자번호3,사업자등록번호3.csv,C:/projects/myproject/QDQM/DS_Input/Reference/사업자등록번호3.csv,Reference,16.0,88.89,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_DATE,Master,0,,,3,3,CUSTOMER.csv.판매일 -> 기업고객.csv.판매일 -> 기업고객.csv.판매일,CUSTOMER.csv.판매일 -> 기업고객.csv.판매일 -> 기업고객.csv.판매일,,판매일,CUSTOMER.csv,Master,66.06,판매일,기업고객.csv,Master,96.56,판매일,기업고객.csv,Master,63.71,,,,,판매일,CUSTOMER.csv,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,Master,2528.0,66.06,근무시작일자,사원마스터.csv,C:/projects/myproject/QDQM/DS_Input/Internal/사원마스터.csv,Master,2458.0,64.23,판매일,기업고객.csv,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,Master,2438.0,63.71,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,CONTRACT_ORG_CD,Master,0,,,3,3,CUSTOMER.csv.판매점소 -> 기업고객.csv.판매점소 -> 택배_고객.csv.판매점소,CUSTOMER.csv.판매점소 -> 기업고객.csv.판매점소 -> 택배_고객.csv.판매점소,,판매점소,CUSTOMER.csv,Master,92.13,판매점소,기업고객.csv,Master,96.77,판매점소,택배_고객.csv,Master,85.39,,,,,판매점소,CUSTOMER.csv,C:/projects/myproject/QDQM/DS_Input/Internal/CUSTOMER.csv,Master,82.0,92.13,판매점소,기업고객.csv,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,Master,80.0,89.89,판매점소,택배_고객.csv,C:/projects/myproject/QDQM/DS_Input/Internal/택배_고객.csv,Master,76.0,85.39,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,SALES_EMP,Master,0,,,1,1,기업고객.csv.판매원사번,기업고객.csv.판매원사번,,판매원사번,기업고객.csv,Master,75.25,,,,,,,,,,,,,판매원사번,기업고객.csv,C:/projects/myproject/QDQM/DS_Input/Internal/기업고객.csv,Master,748.0,75.25,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ZIP,Master,0,,우편번호3,1,0,우편번호3.csv.우편번호3,,,우편번호3,우편번호3.csv,Reference,65.23,,,,,,,,,,,,,우편번호3,우편번호3.csv,C:/projects/myproject/QDQM/DS_Input/Reference/우편번호3.csv,Reference,332.0,65.23,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,ADDR,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,RETURN_ZIP,Master,0,,우편번호3,1,0,우편번호3.csv.우편번호3,,,우편번호3,우편번호3.csv,Reference,65.23,,,,,,,,,,,,,우편번호3,우편번호3.csv,C:/projects/myproject/QDQM/DS_Input/Reference/우편번호3.csv,Reference,334.0,65.23,,,,,,,,,,,,,,,,,,
C:/projects/myproject/QDQM/DS_Input/Internal/CONTRACT.csv,CONTRACT.csv,RETURN_ADDR,Master,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
