FileName,ColumnName,Format,Count
CONTRACT.csv,CONTRACT_NO,nnnnnnn,5551
CONTRACT.csv,CONTRACT_NO,nnnnnn,2007
CONTRACT.csv,CONTRACT_NO,nnnnn,106
CONTRACT.csv,CONTRACT_NO,nnnn,16
CONTRACT.csv,CONTRACT_NO,nnn,1
CONTRACT.csv,CONTRACT_NO,Annnnnn,1
CONTRACT.csv,CONTRACT_NO,UK,1
CONTRACT.csv,CUSTOMER,KKKK,1197
CONTRACT.csv,CUSTOMER,KKKKK,783
CONTRACT.csv,CUSTOMER,KKK,564
CONTRACT.csv,CUSTOMER,KKKKKK,453
CONTRACT.csv,CUSTOMER,SKSKKKK,352
CONTRACT.csv,CUSTOMER,SKSKKKKK,287
CONTRACT.csv,CUSTOMER,KK,244
CONTRACT.csv,CUSTOMER,KKKKKKK,241
CONTRACT.csv,CUSTOMER,SKSKKKKKK,202
CONTRACT.csv,CUSTOMER,SKSKKK,166
CONTRACT.csv,CUSTOMER,KKKKKKKK,157
CONTRACT.csv,CUSTOMER,KKKK KKKK,156
CONTRACT.csv,CUSTOMER,KKKKKKKKK,114
CONTRACT.csv,CUSTOMER,SKSKKKKKKK,113
CONTRACT.csv,CUSTOMER,KKKK KKKKK,111
CONTRACT.csv,CUSTOMER,KKKKKKSKS,108
CONTRACT.csv,CUSTOMER,KKKK KKK,105
CONTRACT.csv,CUSTOMER,KKKKSKS,101
CONTRACT.csv,CUSTOMER,SKSKK,98
CONTRACT.csv,CUSTOMER,KKKKKKKKKK,87
CONTRACT.csv,CUST_NO,nnnnnnnnnn,7604
CONTRACT.csv,CUST_NO,nnnnnn,11
CONTRACT.csv,CUST_NO,nnnnn,5
CONTRACT.csv,CUST_NO,nnnn,1
CONTRACT.csv,CONTRACT_DATE,nnnnnnnn,7670
CONTRACT.csv,CONTRACT_ORG_CD,AAAAAAA,4615
CONTRACT.csv,CONTRACT_ORG_CD,AAAAA,2162
CONTRACT.csv,CONTRACT_ORG_CD,AAAAAA,168
CONTRACT.csv,CONTRACT_ORG_CD,AA,1
CONTRACT.csv,SALES_EMP,nnnnnnn,4702
CONTRACT.csv,SALES_EMP,nnnnnn,2037
CONTRACT.csv,SALES_EMP,nnnnn,845
CONTRACT.csv,SALES_EMP,AAAnnnn,3
CONTRACT.csv,ZIP,nnnnnn,6149
CONTRACT.csv,ZIP,nnnnn,1131
CONTRACT.csv,ZIP,nnnn,264
CONTRACT.csv,ADDR,KKKKK KKK KKK,355
CONTRACT.csv,ADDR,KKK KKK KKK KKK,157
CONTRACT.csv,ADDR,KKKK KKK KKK KKK,145
CONTRACT.csv,ADDR,KKKKK KK KKK,134
CONTRACT.csv,ADDR,KKK KKK KKK,127
CONTRACT.csv,ADDR,KK KK KK,76
CONTRACT.csv,ADDR,KKK KKK KKK KKK nnn,72
CONTRACT.csv,ADDR,KKKKK KKK KKKK nnn,70
CONTRACT.csv,ADDR,KKKKK KKK KKK nnn,63
CONTRACT.csv,ADDR,KKKKK KKK KKK nn,59
CONTRACT.csv,ADDR,KKK KKK KKK nnn,59
CONTRACT.csv,ADDR,KKKK KKK KKK KKK nnn,55
CONTRACT.csv,ADDR,KKK KKK KKK KKKK nnn,54
CONTRACT.csv,ADDR,KKKKK KK KKK nnn,45
CONTRACT.csv,ADDR,KKKKK KKKK KKK,43
CONTRACT.csv,ADDR,KK  KK,42
CONTRACT.csv,ADDR,KKKK KKK KKK,42
CONTRACT.csv,ADDR,KKK KKK KKK KKK nn,41
CONTRACT.csv,ADDR,KKKKK KKK KKKnnK nn,40
CONTRACT.csv,ADDR,KKKKK KK KKK nn,39
CONTRACT.csv,RETURN_ZIP,nnn-nnn,6151
CONTRACT.csv,RETURN_ZIP,nnnnn,1116
CONTRACT.csv,RETURN_ZIP,nnnn,263
CONTRACT.csv,RETURN_ADDR,KKKKK KKK KKK,359
CONTRACT.csv,RETURN_ADDR,KKK KKK KKK KKK,161
CONTRACT.csv,RETURN_ADDR,KKKK KKK KKK KKK,146
CONTRACT.csv,RETURN_ADDR,KKKKK KK KKK,135
CONTRACT.csv,RETURN_ADDR,KKK KKK KKK,128
CONTRACT.csv,RETURN_ADDR,KK KK KK,75
CONTRACT.csv,RETURN_ADDR,KKK KKK KKK KKK nnn,71
CONTRACT.csv,RETURN_ADDR,KKKKK KKK KKKK nnn,67
CONTRACT.csv,RETURN_ADDR,KKKKK KKK KKK nnn,62
CONTRACT.csv,RETURN_ADDR,KKKKK KKK KKK nn,61
CONTRACT.csv,RETURN_ADDR,KKK KKK KKK nnn,58
CONTRACT.csv,RETURN_ADDR,KKKK KKK KKK KKK nnn,55
CONTRACT.csv,RETURN_ADDR,KKKKK KK KKK nnn,45
CONTRACT.csv,RETURN_ADDR,KK  KK,43
CONTRACT.csv,RETURN_ADDR,KKKKK KKKK KKK,43
CONTRACT.csv,RETURN_ADDR,KKKK KKK KKK,42
CONTRACT.csv,RETURN_ADDR,KKK KKK KKK KKK nn,41
CONTRACT.csv,RETURN_ADDR,KKKKK KKK KKKnnK nn,37
CONTRACT.csv,RETURN_ADDR,KKKKK KK KKK nn,37
