ColumnName,OracleType,ConnectionCount,exclusive
ETL일시,DATE,27,1
최종변경일시,DATE,26,1
최초생성자ID,VARCHAR2(3),12,1
최초생성일시,DATE,12,1
최종갱신자ID,VARCHAR2(5),9,1
정렬순서,NUMBER(4),9,1
사용여부,VARCHAR2(1),8,1
우편번호,VARCHAR2(6),7,0
주소,VARCHAR2(60),6,1
사업자등록번호,VARCHAR2(10),6,0
고객명,VARCHAR2(43),5,1
사업구분,VARCHAR2(1),5,1
last_update_dtm,DATE,4,1
조직코드,VARCHAR2(7),4,0
etl_dtm,DATE,4,1
국가코드,VARCHAR2(2),4,0
등록일시,DATE,4,1
팩스번호,VARCHAR2(14),4,0
담당부서,VARCHAR2(10),3,0
집하지우편번호,VARCHAR2(6),3,0
판매원사번,VARCHAR2(7),3,0
수입조직,VARCHAR2(4),3,0
법인번호,VARCHAR2(13),3,0
조직권역구분코드,VARCHAR2(2),3,0
상위조직코드,VARCHAR2(7),3,0
조직구분코드,VARCHAR2(10),3,0
조직관리유형코드,VARCHAR2(10),3,0
판매일,DATE,3,1
조직계약시작일자,DATE,3,1
조직폐쇄일자,DATE,3,1
영문조직명,VARCHAR2(30),3,0
기본주소,VARCHAR2(42),3,0
설명,VARCHAR2(255),3,0
계약구분,VARCHAR2(3),3,0
업태,VARCHAR2(26),3,0
판매점소,VARCHAR2(7),3,0
조직계약종료일자,DATE,3,1
폐기일자,DATE,3,1
영문고객명,VARCHAR2(41),3,0
사직일자,DATE,3,1
고객번호,VARCHAR2(7),3,0
사원번호,VARCHAR2(7),3,0
처리자사번,NUMBER(7),3,0
폐기여부,VARCHAR2(1),2,0
OIO_ORG_NAM,VARCHAR2(12),2,0
OIO_INC_ORG,VARCHAR2(255),2,0
OIO_ORG_NCD,VARCHAR2(4),2,0
OIO_PIN_COD,VARCHAR2(8),2,0
청구지주소,VARCHAR2(60),2,0
사업코드,VARCHAR2(4),2,0
귀속부서조직GROUP코드,VARCHAR2(10),2,0
수정일자,DATE,2,1
등록일자,DATE,2,1
전화번호,VARCHAR2(8),2,0
시도,VARCHAR2(5),2,0
상품코드,VARCHAR2(3),2,0
청구지우편번호,VARCHAR2(6),2,0
OIO_ORG_COD,VARCHAR2(5),2,0
계정코드,VARCHAR2(6),2,0
사업유형코드,VARCHAR2(5),2,0
소속회사,VARCHAR2(7),2,0
국내집배구역,VARCHAR2(7),2,0
직종코드,VARCHAR2(2),2,0
계약종료일,DATE,2,1
계약개시일,DATE,2,1
최종사원업데이트일시,DATE,2,1
업종,VARCHAR2(29),2,0
정규비정규,VARCHAR2(1),2,0
개인기업고객구분,VARCHAR2(1),2,0
서비스지역 및 요율,VARCHAR2(2314),2,0
수정자 사번,VARCHAR2(255),2,0
사업자번호,VARCHAR2(10),2,0
등록사용자ID,VARCHAR2(7),2,0
배부계정GROUP코드,VARCHAR2(7),2,0
고객구분코드,VARCHAR2(7),2,0
Email,VARCHAR2(28),2,0
Tel,VARCHAR2(12),2,0
상위계정과목코드,VARCHAR2(6),2,0
최종수정일시,VARCHAR2(7),2,1
상세주소,VARCHAR2(37),2,0
