FileName,ColumnName,Format,Count
COMPANY.csv,CompanyID,nnn,900
COMPANY.csv,CompanyID,nnnn,474
COMPANY.csv,CompanyID,nn,90
COMPANY.csv,CompanyID,n,10
COMPANY.csv,CompanyType,n,1474
COMPANY.csv,Company_Name,SKSKKKKK,185
COMPANY.csv,Company_Name,SKSKKKK,177
COMPANY.csv,Company_Name,KKKK,128
COMPANY.csv,Company_Name,SKSKKKKKK,115
COMPANY.csv,Company_Name,KKKKK,91
COMPANY.csv,Company_Name,SKSKKK,68
COMPANY.csv,Company_Name,SKSKK,66
COMPANY.csv,Company_Name,SKSKKKKKKK,63
COMPANY.csv,Company_Name,KKK,45
COMPANY.csv,Company_Name,SKSKKKKKKKK,44
COMPANY.csv,Company_Name,KKKKKK,38
COMPANY.csv,Company_Name,KKKKSKS,34
COMPANY.csv,Company_Name,KKKKKSKS,25
COMPANY.csv,Company_Name,KKKKKKK,24
COMPANY.csv,Company_Name,KKKKKKKK,22
COMPANY.csv,Company_Name,KK,21
COMPANY.csv,Company_Name,n,19
COMPANY.csv,Company_Name,KKKKKKSKS,18
COMPANY.csv,Company_Name,SKSKKKKKKKKK,16
COMPANY.csv,Company_Name,SKSKKKKKKKKKK,9
COMPANY.csv,Company_Name_Abbreviation,KKKK,370
COMPANY.csv,Company_Name_Abbreviation,KKKKK,298
COMPANY.csv,Company_Name_Abbreviation,KKK,162
COMPANY.csv,Company_Name_Abbreviation,KK,149
COMPANY.csv,Company_Name_Abbreviation,KKKKKK,149
COMPANY.csv,Company_Name_Abbreviation,KKKKKKK,83
COMPANY.csv,Company_Name_Abbreviation,KKKKKKKK,54
COMPANY.csv,Company_Name_Abbreviation,n,24
COMPANY.csv,Company_Name_Abbreviation,SKSKKKKK,13
COMPANY.csv,Company_Name_Abbreviation,KKKKKKKKK,11
COMPANY.csv,Company_Name_Abbreviation,SKSKKKK,9
COMPANY.csv,Company_Name_Abbreviation,KKKKKKKKKK,8
COMPANY.csv,Company_Name_Abbreviation,KKKSKKKKKS,7
COMPANY.csv,Company_Name_Abbreviation,SKSKK,6
COMPANY.csv,Company_Name_Abbreviation,KKKn,5
COMPANY.csv,Company_Name_Abbreviation,SKSKKKKKK,5
COMPANY.csv,Company_Name_Abbreviation,KKKKSKKS,5
COMPANY.csv,Company_Name_Abbreviation,KKKKKKSKKKKS,4
COMPANY.csv,Company_Name_Abbreviation,SKSKKKKKKK,3
COMPANY.csv,Company_Name_Abbreviation,KKKKKSKKS,3
COMPANY.csv,Business_Registration_Number,nnnnnnnnnn.n,1420
COMPANY.csv,Business_Registration_Number,n.n,2
COMPANY.csv,Business_Type,KKK,307
COMPANY.csv,Business_Type,KK,203
COMPANY.csv,Business_Type,KKSKKK,175
COMPANY.csv,Business_Type,KK/KKK,94
COMPANY.csv,Business_Type,KKSKK,86
COMPANY.csv,Business_Type,KK/KK,73
COMPANY.csv,Business_Type,KKKK,31
COMPANY.csv,Business_Type,KKK/KK,29
COMPANY.csv,Business_Type,KKKSKKK,25
COMPANY.csv,Business_Type,KKKKK,24
COMPANY.csv,Business_Type,KKKSKK,24
COMPANY.csv,Business_Type,KKK/KKK,23
COMPANY.csv,Business_Type,KK/KK/KK,21
COMPANY.csv,Business_Type,KKKKKK,18
COMPANY.csv,Business_Type,KKSKKSKK,16
COMPANY.csv,Business_Type,KKK/KKK/KKK,11
COMPANY.csv,Business_Type,KKK/KK/KK,11
COMPANY.csv,Business_Type,KKSKKSKKK,11
COMPANY.csv,Business_Type,KK/KKK/KKK,11
COMPANY.csv,Business_Type,KKK/KK/KKK,10
COMPANY.csv,Business_Item,KK,342
COMPANY.csv,Business_Item,KKSKK,113
COMPANY.csv,Business_Item,KKK,104
COMPANY.csv,Business_Item,KKKK,88
COMPANY.csv,Business_Item,KKKKK,81
COMPANY.csv,Business_Item,KK/KK,60
COMPANY.csv,Business_Item,KKKKKK,32
COMPANY.csv,Business_Item,KKSKKSKK,25
COMPANY.csv,Business_Item,KK/KK/KK,23
COMPANY.csv,Business_Item,KKSKKK,16
COMPANY.csv,Business_Item,KKSKKKK,16
COMPANY.csv,Business_Item,KKKKKKKK,13
COMPANY.csv,Business_Item,KKSKKKKK,13
COMPANY.csv,Business_Item,KKKKKKK,13
COMPANY.csv,Business_Item,KK/KKKK,11
COMPANY.csv,Business_Item,KK/KK/KKKK,11
COMPANY.csv,Business_Item,KKKK/KK,11
COMPANY.csv,Business_Item,KKK/KK,11
COMPANY.csv,Business_Item,KKKSKK,10
COMPANY.csv,Business_Item,KK/KK/KKKKK,10
COMPANY.csv,ZIP_Code,nnnnnn,1470
COMPANY.csv,ZIP_Code,n,3
COMPANY.csv,ZIP_Code,UUnnn,1
COMPANY.csv,Address,KK KKK KKK nnn-n,91
COMPANY.csv,Address,KK KKK KKK nnn-nn,56
COMPANY.csv,Address,KK KKK KKK KKK nnn-n,42
COMPANY.csv,Address,KK KKK KKK nn-n,40
COMPANY.csv,Address,KK KKK KKK nnn,25
COMPANY.csv,Address,KK KKKK KKK nnn-n,20
COMPANY.csv,Address,KKKKK KKK KKKnK   nnn-nn KKKKK KKKK,20
